iter	RMSE
0	12.85054838
1	11.20473756
2	9.812200604
3	8.861756701
4	8.093317582
5	7.411848557
6	6.864329784
7	6.38268138
8	5.999569399
9	5.784538178
10	5.47987321
11	5.27683233
12	5.11050494
13	4.952452965
14	4.849575594
15	4.713152556
16	4.591594918
17	4.504570452
18	4.455002934
19	4.36312084
20	4.265919355
21	4.18178349
22	4.055656933
23	3.956247678
24	3.891615372
25	3.842487496
26	3.803286599
27	3.705998873
28	3.653363207
29	3.590781246
30	3.480964278
31	3.394536563
32	3.326812752
33	3.274089734
34	3.241909349
35	3.181586224
