iter	Passed	Remaining
0	59	59597
1	60	29954
2	60	20066
3	60	15118
4	61	12160
5	61	10185
6	61	8773
7	62	7710
8	62	6886
9	62	6229
10	63	5690
11	63	5241
12	63	4857
13	64	4533
14	64	4251
15	65	4007
16	65	3784
17	65	3590
18	66	3415
19	66	3261
20	66	3118
21	67	2988
22	67	2868
23	67	2759
24	68	2660
25	68	2568
26	68	2481
27	69	2401
28	69	2326
29	69	2257
30	70	2192
31	70	2132
32	70	2074
33	71	2022
34	71	1971
35	71	1922
36	72	1876
37	72	1833
38	72	1793
39	73	1756
40	73	1719
41	73	1683
42	74	1648
43	74	1616
44	74	1585
45	75	1555
46	75	1527
47	75	1500
48	75	1474
49	76	1448
50	76	1424
51	76	1401
52	77	1378
53	77	1356
54	77	1335
55	78	1317
56	78	1299
57	78	1281
58	79	1262
59	79	1244
60	79	1226
61	80	1211
62	80	1195
63	80	1179
64	80	1164
65	81	1149
66	81	1134
67	81	1118
68	81	1104
69	82	1091
70	82	1078
71	82	1066
72	83	1054
73	83	1042
74	83	1030
75	83	1020
76	84	1009
77	84	999
78	84	988
79	85	977
80	85	968
81	85	958
82	85	948
83	86	938
84	86	928
85	86	919
86	86	909
87	86	900
88	87	891
89	87	883
90	87	876
91	88	869
92	88	862
93	88	855
94	89	848
95	89	840
96	89	833
97	89	826
98	90	819
99	90	813
100	90	806
101	90	798
102	91	793
103	91	787
104	91	780
105	91	774
106	92	768
107	92	763
108	92	757
109	92	751
110	93	746
111	93	741
112	93	736
113	94	731
114	94	728
115	94	722
116	95	718
117	95	713
118	95	707
119	95	703
120	96	698
121	96	693
122	96	688
123	96	683
124	97	680
125	97	675
126	97	672
127	97	667
128	98	662
129	98	659
130	98	655
131	99	651
132	99	648
133	99	644
134	99	640
135	100	637
136	100	633
137	100	629
138	101	625
139	101	621
140	101	618
141	101	614
142	102	611
143	102	608
144	102	605
145	102	601
146	103	598
147	103	595
148	103	591
149	103	589
150	104	586
151	104	583
152	104	580
153	105	577
154	105	574
155	105	571
156	106	569
157	106	566
158	106	564
159	106	561
160	107	558
161	107	556
162	107	553
163	108	551
164	108	548
165	108	546
166	109	544
167	109	542
168	109	540
169	110	538
170	110	536
171	110	534
172	111	532
173	111	529
174	111	527
175	112	524
176	112	522
177	112	520
178	112	518
179	113	516
180	113	513
181	113	510
182	113	508
183	114	506
184	114	504
185	114	502
186	114	499
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	487
193	117	486
194	117	484
195	117	482
196	117	480
197	118	478
198	118	476
199	118	475
200	119	473
201	119	471
202	119	469
203	119	467
204	120	466
205	120	464
206	120	462
207	121	460
208	121	459
209	121	457
210	121	455
211	122	453
212	122	451
213	122	449
214	122	448
215	123	447
216	123	446
217	123	444
218	124	443
219	124	441
220	124	440
221	125	439
222	125	437
223	125	436
224	126	434
225	126	433
226	126	432
227	127	430
228	127	429
229	127	427
230	128	426
231	128	424
232	128	423
233	128	422
234	129	420
235	129	419
236	129	418
237	130	416
238	130	415
239	130	414
240	131	413
241	131	411
242	131	410
243	132	409
244	132	407
245	132	406
246	132	404
247	133	403
248	133	402
249	133	400
250	133	399
251	134	398
252	134	397
253	134	395
254	135	394
255	135	393
256	135	392
257	136	391
258	136	389
259	136	388
260	136	387
261	137	385
262	137	384
263	137	383
264	137	382
265	138	381
266	138	380
267	138	378
268	138	377
269	139	376
270	139	375
271	139	374
272	140	373
273	140	372
274	140	371
275	141	370
276	141	369
277	141	367
278	141	366
279	142	365
280	142	364
281	142	363
282	143	362
283	143	361
284	143	360
285	143	359
286	144	358
287	144	357
288	144	356
289	145	355
290	145	354
291	145	353
292	145	352
293	146	350
294	146	350
295	146	349
296	146	347
297	147	346
298	147	345
299	147	344
300	148	343
301	148	342
302	148	341
303	148	340
304	149	339
305	149	339
306	149	338
307	150	337
308	150	336
309	150	335
310	150	334
311	151	333
312	151	332
313	151	331
314	151	330
315	152	329
316	152	328
317	152	327
318	153	327
319	153	326
320	153	325
321	154	324
322	154	323
323	154	322
324	155	321
325	155	321
326	155	320
327	155	319
328	156	318
329	156	317
330	156	317
331	157	316
332	157	315
333	157	314
334	158	313
335	158	313
336	158	312
337	159	311
338	159	310
339	159	309
340	159	308
341	160	307
342	160	307
343	160	306
344	160	305
345	161	304
346	161	303
347	161	302
348	162	302
349	162	301
350	162	300
351	162	299
352	163	299
353	163	298
354	163	297
355	164	296
356	164	296
357	164	295
358	165	294
359	165	294
360	165	293
361	165	292
362	166	291
363	166	290
364	166	290
365	166	289
366	167	288
367	167	287
368	167	287
369	168	286
370	168	285
371	168	284
372	169	284
373	169	283
374	169	282
375	169	282
376	170	281
377	170	281
378	171	280
379	171	279
380	171	279
381	172	278
382	172	277
383	172	276
384	172	276
385	173	275
386	173	274
387	173	274
388	174	273
389	174	272
390	174	272
391	175	271
392	175	270
393	175	270
394	175	269
395	176	268
396	176	268
397	176	267
398	177	267
399	177	266
400	177	265
401	178	265
402	178	264
403	178	263
404	178	262
405	179	262
406	179	261
407	179	261
408	180	260
409	180	259
410	180	259
411	181	258
412	181	257
413	181	256
414	181	256
415	182	255
416	182	255
417	182	254
418	183	253
419	183	253
420	183	252
421	183	251
422	184	251
423	184	250
424	184	249
425	185	249
426	185	248
427	185	248
428	186	247
429	186	247
430	186	246
431	187	246
432	187	245
433	187	244
434	188	244
435	188	243
436	188	243
437	189	242
438	189	242
439	189	241
440	190	240
441	190	240
442	190	239
443	190	238
444	191	238
445	191	237
446	191	237
447	191	236
448	192	235
449	192	235
450	192	234
451	192	233
452	193	233
453	193	232
454	193	231
455	194	231
456	194	230
457	194	230
458	194	229
459	195	229
460	195	228
461	195	227
462	195	227
463	196	226
464	196	226
465	196	225
466	197	224
467	197	224
468	197	223
469	197	223
470	198	222
471	198	221
472	198	221
473	198	220
474	199	220
475	199	219
476	199	219
477	200	218
478	200	217
479	200	217
480	200	216
481	201	216
482	201	215
483	202	215
484	202	214
485	202	214
486	202	213
487	203	213
488	203	212
489	203	212
490	204	211
491	204	210
492	204	210
