iter	Passed	Remaining
0	60	60370
1	60	30358
2	61	20338
3	61	15322
4	61	12307
5	62	10298
6	62	8859
7	62	7781
8	63	6942
9	63	6272
10	63	5723
11	63	5264
12	64	4876
13	64	4546
14	64	4257
15	65	4008
16	65	3787
17	65	3587
18	66	3409
19	66	3249
20	66	3106
21	66	2974
22	67	2854
23	67	2745
24	67	2644
25	68	2550
26	68	2463
27	68	2383
28	68	2308
29	69	2237
30	69	2171
31	69	2110
32	70	2052
33	70	1999
34	70	1951
35	71	1903
36	71	1857
37	71	1814
38	71	1772
39	72	1734
40	72	1697
41	72	1663
42	73	1629
43	73	1597
44	73	1566
45	74	1536
46	74	1508
47	74	1482
48	75	1456
49	75	1430
50	75	1406
51	75	1383
52	76	1360
53	76	1339
54	76	1318
55	77	1299
56	77	1279
57	77	1260
58	77	1242
59	78	1224
60	78	1208
61	78	1192
62	79	1175
63	79	1160
64	79	1144
65	79	1130
66	80	1117
67	80	1102
68	80	1089
69	81	1076
70	81	1063
71	81	1051
72	81	1039
73	82	1027
74	82	1015
75	82	1005
76	83	995
77	83	984
78	83	974
79	83	965
80	84	955
81	84	947
82	84	935
83	85	926
84	85	918
85	85	909
86	86	902
87	86	894
88	86	886
89	86	878
90	87	870
91	87	862
92	87	855
93	87	847
94	88	839
95	88	832
96	88	825
97	88	818
98	89	812
99	89	805
100	89	799
101	90	793
102	90	788
103	90	781
104	91	776
105	91	770
106	91	764
107	91	758
108	92	753
109	92	747
110	92	741
111	92	736
112	93	730
113	93	725
114	93	719
115	93	714
116	93	709
117	94	704
118	94	700
119	94	695
120	95	690
121	95	685
122	95	680
123	95	676
124	95	671
125	96	667
126	96	662
127	96	658
128	96	654
129	97	650
130	97	646
131	97	642
132	97	638
133	98	634
134	98	631
135	98	627
136	99	623
137	99	620
138	99	616
139	99	613
140	100	609
141	100	605
142	100	602
143	100	599
144	101	596
145	101	593
146	101	590
147	102	587
148	102	584
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	563
156	104	560
157	104	558
158	104	555
159	105	552
160	105	549
161	105	546
162	105	543
163	106	541
164	106	538
165	106	535
166	106	533
167	107	530
168	107	528
169	107	526
170	108	523
171	108	521
172	108	519
173	108	517
174	109	514
175	109	512
176	109	509
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	497
183	111	495
184	112	494
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	114	479
192	114	477
193	114	475
194	114	473
195	115	471
196	115	469
197	115	467
198	115	466
199	116	464
200	116	462
201	116	461
202	117	459
203	117	457
204	117	456
205	117	454
206	118	452
207	118	451
208	118	449
209	119	448
210	119	446
211	119	444
212	119	442
213	120	441
214	120	439
215	120	437
216	120	436
217	121	434
218	121	433
219	121	431
220	122	430
221	122	428
222	122	426
223	122	425
224	123	424
225	123	422
226	123	421
227	124	420
228	124	418
229	124	417
230	124	415
231	125	414
232	125	412
233	125	411
234	126	410
235	126	408
236	126	407
237	126	406
238	127	404
239	127	403
240	127	402
241	127	400
242	128	399
243	128	398
244	128	397
245	129	395
246	129	394
247	129	393
248	129	392
249	130	390
250	130	389
251	130	388
252	131	386
253	131	385
254	131	384
255	131	383
256	132	382
257	132	381
258	132	380
259	133	378
260	133	377
261	133	376
262	133	375
263	134	374
264	134	373
265	135	372
266	135	371
267	135	370
268	135	369
269	136	368
270	136	366
271	136	365
272	137	364
273	137	363
274	137	362
275	137	361
276	138	360
277	138	359
278	138	358
279	139	357
280	139	356
281	139	355
282	139	354
283	140	353
284	140	352
285	140	351
286	140	350
287	141	349
288	141	348
289	141	347
290	142	346
291	142	345
292	142	344
293	142	343
294	143	342
295	143	341
296	143	340
297	144	339
298	144	338
299	144	337
300	145	336
301	145	335
302	145	334
303	145	333
304	146	332
305	146	331
306	146	330
307	146	330
308	147	329
309	147	328
310	147	327
311	148	326
312	148	325
313	148	324
314	148	323
315	149	323
316	149	322
317	149	321
318	150	320
319	150	319
320	150	318
321	151	318
322	151	317
323	151	316
324	151	315
325	152	314
326	152	313
327	152	313
328	153	312
329	153	311
330	153	310
331	153	309
332	154	308
333	154	308
334	154	307
335	155	306
336	155	305
337	155	304
338	156	304
339	156	303
340	156	302
341	156	301
342	157	300
343	157	300
344	157	299
345	157	298
346	158	297
347	158	296
348	158	296
349	159	295
350	159	294
351	159	293
352	159	293
353	160	292
354	160	291
355	160	290
356	161	290
357	161	289
358	161	288
359	161	287
360	162	286
361	162	286
362	162	285
363	162	284
364	163	283
365	163	283
366	163	282
367	164	281
368	164	281
369	164	280
370	165	279
371	165	279
372	165	278
373	165	277
374	166	276
375	166	276
376	166	275
377	167	274
378	167	274
379	167	273
380	167	272
381	168	272
382	168	271
383	168	270
384	169	270
385	169	269
386	169	268
387	169	268
388	170	267
389	170	266
390	170	266
391	171	265
392	171	264
393	171	263
394	171	263
395	171	262
396	172	261
397	172	261
398	172	260
399	173	259
400	173	258
401	173	258
402	174	257
403	174	257
404	174	256
405	174	255
406	175	255
407	175	254
408	175	253
409	175	253
410	176	252
411	176	251
412	176	251
413	176	250
414	177	249
415	177	249
416	177	248
417	178	247
418	178	247
419	178	246
420	178	245
421	179	245
422	179	244
423	179	244
424	180	243
425	180	242
426	180	242
427	180	241
428	181	241
429	181	240
430	181	239
431	181	239
432	182	238
433	182	238
434	182	237
435	183	236
436	183	236
437	183	235
438	183	235
439	184	234
440	184	233
441	184	233
442	185	232
443	185	232
444	185	231
445	185	230
446	186	230
447	186	229
448	186	229
449	186	228
450	187	227
451	187	227
452	187	226
453	188	226
454	188	225
455	188	225
456	188	224
457	189	223
458	189	223
459	189	222
460	190	222
461	190	221
462	190	221
463	190	220
464	191	219
465	191	219
466	191	218
467	191	218
468	192	217
469	192	217
470	192	216
471	193	215
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	194	212
479	195	211
480	195	210
481	195	210
482	196	209
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	199	204
493	199	204
494	199	203
495	199	203
496	200	202
497	200	202
498	200	201
499	200	200
500	201	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	197
507	203	196
508	203	196
509	203	195
510	203	195
511	204	194
512	204	194
513	204	193
514	205	193
515	205	192
516	205	192
517	205	191
518	206	191
519	206	190
520	206	190
521	206	189
522	207	189
523	207	188
524	207	188
525	208	187
526	208	187
527	208	186
528	208	186
529	209	185
530	209	185
531	209	184
532	210	184
533	210	183
534	210	183
535	211	182
536	211	182
537	211	181
538	211	181
539	212	180
540	212	180
541	212	179
542	213	179
543	213	178
544	213	178
545	213	177
546	214	177
547	214	176
548	214	176
549	215	175
550	215	175
551	215	174
552	215	174
553	216	173
554	216	173
555	216	173
556	216	172
557	217	172
558	217	171
559	217	171
560	217	170
561	218	170
562	218	169
563	218	169
564	219	168
565	219	168
566	219	167
567	220	167
568	220	166
569	220	166
570	220	166
571	221	165
572	221	165
573	221	164
574	222	164
575	222	163
576	222	163
577	222	162
578	223	162
579	223	161
580	223	161
581	223	160
582	224	160
583	224	160
584	224	159
585	225	159
586	225	158
587	225	158
588	226	157
589	226	157
590	226	156
591	226	156
592	227	156
593	227	155
594	227	155
595	228	154
596	228	154
597	228	153
598	228	153
599	229	152
600	229	152
601	229	151
602	230	151
603	230	150
604	230	150
605	230	150
606	231	149
607	231	149
608	231	148
609	231	148
610	232	147
611	232	147
612	232	147
613	233	146
614	233	146
615	233	145
616	233	145
617	234	144
618	234	144
619	234	143
620	234	143
621	235	142
622	235	142
623	235	142
624	235	141
625	236	141
626	236	140
627	236	140
628	237	139
629	237	139
630	237	138
631	237	138
632	238	138
633	238	137
634	238	137
635	239	136
636	239	136
637	239	136
638	239	135
639	240	135
640	240	134
641	240	134
642	241	133
643	241	133
644	241	133
645	242	132
646	242	132
647	242	131
648	242	131
649	243	130
650	243	130
651	243	130
652	244	129
653	244	129
654	244	128
655	244	128
656	245	127
657	245	127
658	245	127
659	245	126
660	246	126
661	246	125
662	246	125
663	247	125
664	247	124
665	247	124
666	247	123
667	248	123
668	248	122
669	248	122
670	248	122
671	249	121
672	249	121
673	249	120
674	250	120
675	250	119
676	250	119
677	250	119
678	251	118
679	251	118
680	251	117
681	251	117
682	252	117
683	252	116
684	252	116
685	253	115
686	253	115
687	253	115
688	253	114
689	254	114
690	254	113
691	254	113
692	255	113
693	255	112
694	255	112
695	255	111
696	256	111
697	256	110
698	256	110
699	257	110
700	257	109
701	257	109
702	258	109
703	258	108
704	258	108
705	258	107
706	259	107
707	259	107
708	259	106
709	260	106
710	260	105
711	260	105
712	260	104
713	261	104
714	261	104
715	261	103
716	261	103
717	262	102
718	262	102
719	262	102
720	263	101
721	263	101
722	263	101
723	263	100
724	264	100
725	264	99
726	264	99
727	264	98
728	265	98
729	265	98
730	265	97
731	266	97
732	266	96
733	266	96
734	266	96
735	267	95
736	267	95
737	267	95
738	267	94
739	268	94
740	268	93
741	269	93
742	269	93
743	269	92
744	270	92
745	270	92
746	270	91
747	270	91
748	271	90
749	271	90
750	271	90
751	271	89
752	272	89
753	272	88
754	273	88
755	273	88
756	273	87
757	274	87
758	274	87
759	274	86
760	275	86
761	275	86
762	275	85
763	275	85
764	276	84
765	276	84
766	276	84
767	277	83
768	277	83
769	277	82
770	277	82
771	278	82
772	278	81
773	278	81
774	278	80
775	279	80
776	279	80
777	279	79
778	280	79
779	280	79
780	280	78
781	280	78
782	281	77
783	281	77
784	281	77
785	282	76
786	282	76
787	282	76
788	282	75
789	283	75
790	283	74
791	283	74
792	284	74
793	284	73
794	284	73
795	285	73
796	285	72
797	285	72
798	285	71
799	286	71
800	286	71
801	286	70
802	286	70
803	287	69
804	287	69
805	287	69
806	288	68
807	288	68
808	289	68
809	289	67
810	289	67
811	289	67
812	290	66
813	290	66
814	290	66
815	291	65
816	291	65
817	291	64
818	292	64
819	292	64
820	292	63
821	292	63
822	293	63
823	293	62
824	293	62
825	294	61
826	294	61
827	294	61
828	295	60
829	295	60
830	295	60
831	295	59
832	296	59
833	296	59
834	296	58
835	296	58
836	297	57
837	297	57
838	297	57
839	297	56
840	298	56
841	298	56
842	298	55
843	299	55
844	299	54
845	299	54
846	299	54
847	300	53
848	300	53
849	300	53
850	301	52
851	301	52
852	301	51
853	301	51
854	302	51
855	302	50
856	302	50
857	303	50
858	303	49
859	303	49
860	304	49
861	304	48
862	305	48
863	305	48
864	306	47
865	306	47
866	306	47
867	307	46
868	307	46
869	307	45
870	308	45
871	308	45
872	308	44
873	308	44
874	309	44
875	309	43
876	309	43
877	309	43
878	310	42
879	310	42
880	310	41
881	311	41
882	311	41
883	311	40
884	312	40
885	312	40
886	312	39
887	313	39
888	313	39
889	313	38
890	314	38
891	314	38
892	314	37
893	314	37
894	315	36
895	315	36
896	315	36
897	316	35
898	316	35
899	316	35
900	316	34
901	317	34
902	317	34
903	317	33
904	317	33
905	318	33
906	318	32
907	318	32
908	319	31
909	319	31
910	320	31
911	320	30
912	320	30
913	321	30
914	321	29
915	322	29
916	322	29
917	322	28
918	322	28
919	323	28
920	323	27
921	323	27
922	324	27
923	324	26
924	324	26
925	325	25
926	325	25
927	325	25
928	325	24
929	326	24
930	326	24
931	326	23
932	327	23
933	327	23
934	327	22
935	327	22
936	328	22
937	328	21
938	328	21
939	329	21
940	329	20
941	329	20
942	330	19
943	330	19
944	330	19
945	330	18
946	331	18
947	331	18
948	331	17
949	332	17
950	332	17
951	332	16
952	332	16
953	333	16
954	333	15
955	333	15
956	334	15
957	334	14
958	335	14
959	335	13
960	335	13
961	336	13
962	336	12
963	336	12
964	337	12
965	337	11
966	337	11
967	337	11
968	338	10
969	338	10
970	338	10
971	338	9
972	339	9
973	339	9
974	339	8
975	340	8
976	340	8
977	340	7
978	340	7
979	341	6
980	341	6
981	341	6
982	342	5
983	342	5
984	342	5
985	342	4
986	343	4
987	343	4
988	343	3
989	344	3
990	344	3
991	344	2
992	344	2
993	345	2
994	345	1
995	345	1
996	345	1
997	346	0
998	346	0
999	346	0
